"Brand","Position","Previous Position","Brand Value ($M)","Previous Brand Value ($M)","Rating","Previous Rating","Year","Previous Year"
"accenture",1,1,"26028.06","25293.52","AAA","AAA-",,
"IBM (IT Services)",2,2,"16056.73","21188.37","AAA-","AAA-",,
"TCS",3,3,"14924.34","13498.55","AAA-","AAA-",,
"Infosys",4,5,"8402.05","7087.22","AAA-","AA+",,
"Cognizant",5,4,"8031.83","8572.76","AA+","AA+",,
"Capgemini",6,6,"6750.21","6629.56","AA","AA+",,
"HCL",7,9,"5523.65","4889.40","AA+","AA+",,
"Ntt Data",8,8,"5080.82","5057.54","AA","AA-",,
"Wipro",9,10,"4301.03","4323.73","AA+","AA+",,
"Samsung SDS",10,11,"3693.03","3695.35","AA","AA-",,
"Fujitsu (IT Services)",11,13,"🔒","🔒","🔒","🔒",,
"DXC Technology",12,7,"🔒","🔒","🔒","🔒",,
"Atos",13,12,"🔒","🔒","🔒","🔒",,
"CGI",14,14,"🔒","🔒","🔒","🔒",,
"Tech Mahindra",15,17,"🔒","🔒","🔒","🔒",,
"Xerox",16,15,"🔒","🔒","🔒","🔒",,
"HPE (IT Services)",17,16,"🔒","🔒","🔒","🔒",,
"SAIC",18,19,"🔒","🔒","🔒","🔒",,
"NEC (IT Services)",19,18,"🔒","🔒","🔒","🔒",,
"CTC",20,20,"🔒","🔒","🔒","🔒",,
"LTI",21,23,"🔒","🔒","🔒","🔒",,
"Sopra Steria",22,21,"🔒","🔒","🔒","🔒",,
"Conduent",23,22,"🔒","🔒","🔒","🔒",,
"Bechtle (IT Services)",24,24,"🔒","🔒","🔒","🔒",,
"Globant",25,"-","🔒","🔒","🔒","🔒",,
